,Lng,Lat,Cid,tradeTime,followers,totalPrice,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
74755,116.516248,39.873302,1111027374369,20170606,49,361.0,68.17,2.0,1,1,1.0,6,4.0,1984.0,4,6,0.2,0.0,1.0,1.0,7,43532.0
177943,116.612765,39.905006,1111027374043,20151109,6,396.0,180.9,4.0,2,1,2.0,23,3.0,2005.0,4,6,0.667,1.0,1.0,0.0,7,45447.0
107684,116.416156,40.082584999999995,1111027380054,20150324,2,248.0,123.52,2.0,2,1,2.0,13,4.0,2003.0,4,2,0.33299999999999996,1.0,1.0,1.0,6,33820.0
188421,116.509143,39.925387,1111027375038,20160228,7,370.0,90.75,2.0,2,1,1.0,33,1.0,2008.0,4,6,0.3,1.0,1.0,1.0,7,56336.0
51215,116.27588,40.17221,1111027375908,20161130,0,38.0,18.0,1.0,0,0,1.0,28,3.0,2011.0,1,6,0.625,1.0,1.0,0.0,6,44553.0
313567,116.35403600000001,39.890734,1111027375736,20151213,12,365.0,66.49,3.0,1,1,1.0,6,4.0,1988.0,4,2,0.5,0.0,0.0,0.0,10,90995.0
252237,116.30441499999999,39.918054999999995,1111027376602,20140622,3,338.0,69.4,3.0,1,1,1.0,6,4.0,1988.0,4,2,0.5,0.0,1.0,1.0,8,89992.0
64448,116.441502,39.872065,1111027374184,20170224,29,593.0,81.0,2.0,1,1,1.0,25,1.0,1995.0,4,6,0.25,1.0,0.0,1.0,2,60647.0
88476,116.49003200000001,39.993487,1111027376570,20171121,81,823.0,114.89,2.0,2,1,2.0,27,3.0,2008.0,4,6,0.5,1.0,1.0,1.0,7,68910.0
72187,116.43286200000001,39.948968,1111027374075,20170730,146,810.0,77.08,2.0,1,1,1.0,16,4.0,2003.0,3,6,1.3330000000000002,1.0,1.0,1.0,1,94968.0
55145,116.224768,39.904247999999995,1111027377889,20170120,0,372.0,67.89,2.0,1,1,1.0,18,1.0,1995.0,3,6,0.25,1.0,1.0,0.0,9,49964.0
260061,116.330345,39.984336,1111027373798,20150614,0,100.0,92.98,3.0,1,1,1.0,6,4.0,1997.0,1,2,0.5,0.0,0.0,1.0,8,114107.0
231569,116.404494,39.858621,1111027375036,20150131,0,115.0,68.7,3.0,1,1,1.0,6,4.0,1990.0,1,2,0.5,0.0,0.0,0.0,2,48941.0
8660,116.49932,39.981474,1111027380848,20160709,12,678.0,117.18,2.0,2,1,2.0,15,4.0,2008.0,4,6,1.0,1.0,1.0,1.0,7,35630.0
94006,116.349005,40.079347,1111027378112,20111203,0,88.0,223.27,4.0,2,1,2.0,6,4.0,2003.0,1,6,0.5,0.0,0.0,1.0,6,44326.0
143897,116.420546,39.997876,1111027375605,20131203,51,288.0,63.0,2.0,1,1,1.0,18,3.0,1990.0,1,6,0.2,1.0,1.0,0.0,7,69557.0
58496,116.516248,39.873302,1111027374369,20170114,12,277.0,53.39,2.0,1,1,1.0,6,4.0,1983.0,3,6,0.2,0.0,1.0,1.0,7,43532.0
316782,116.336949,39.894054,1111027379632,20160506,17,270.0,39.95,1.0,1,1,1.0,6,4.0,1983.0,3,2,0.33299999999999996,0.0,1.0,1.0,10,78372.0
34838,116.350167,40.038259000000004,1111027379405,20160917,13,451.0,96.0,2.0,1,1,1.0,7,4.0,1998.0,4,2,0.33299999999999996,0.0,1.0,0.0,8,60555.0
237231,116.36403899999999,39.848137,1111027376529,20160216,22,378.0,94.04,4.0,1,1,2.0,6,4.0,1998.0,4,2,0.33299999999999996,0.0,1.0,1.0,2,64123.0
213903,116.31681,39.768231,1111027379689,20150308,1,169.0,40.41,2.0,1,1,2.0,16,3.0,2012.0,4,6,0.16699999999999998,1.0,0.0,0.0,4,68041.0
301850,116.381307,39.970874,1111027380697,20130902,4,420.0,61.8,2.0,1,1,1.0,5,4.0,1990.0,1,2,0.33299999999999996,0.0,1.0,0.0,10,130635.0
170420,116.56954499999999,39.910973999999996,1111027382009,20150710,2,248.5,92.42,2.0,1,1,1.0,10,4.0,2005.0,4,6,0.33299999999999996,1.0,1.0,1.0,7,44599.0
108248,116.34386200000002,40.074863,1111027377721,20150531,14,261.1,101.99,3.0,1,1,1.0,6,4.0,2004.0,4,2,0.5,0.0,1.0,1.0,6,43544.0
171062,116.45918600000002,39.959951000000004,1111027379670,20150620,1,339.0,79.17,3.0,1,1,1.0,6,4.0,1981.0,3,2,0.33299999999999996,0.0,1.0,0.0,7,64403.0
311473,116.34063300000001,39.891697,1111027375126,20150719,0,221.0,36.36,1.0,1,1,1.0,6,4.0,1986.0,1,2,0.33299999999999996,0.0,0.0,1.0,10,86538.0
78816,116.311776,40.084907,1111027375926,20170831,85,450.0,94.68,2.0,1,1,1.0,6,4.0,2006.0,4,2,0.5,0.0,1.0,0.0,6,44513.0
298375,116.395202,39.961718,1111027378023,20130630,0,420.0,60.1,3.0,1,1,1.0,5,4.0,1975.0,1,4,0.33299999999999996,0.0,1.0,1.0,10,133455.0
151975,116.57772,39.901441,1111027379520,20140807,20,160.5,81.6,2.0,1,1,1.0,6,4.0,,4,4,0.5,0.0,1.0,0.0,7,43127.0
107827,116.331446,40.085293,1111027374438,20150417,5,252.0,124.15,3.0,1,1,2.0,6,4.0,2000.0,1,2,0.5,0.0,1.0,0.0,6,42926.0
239055,116.37794199999999,39.847498,1111027382744,20160417,4,160.0,38.4,1.0,0,1,1.0,16,4.0,2009.0,1,6,0.25,1.0,0.0,1.0,2,57950.0
61643,116.43777,39.986008,1111027379661,20170222,11,488.0,56.64,1.0,1,1,1.0,18,1.0,1996.0,4,6,0.2,1.0,1.0,1.0,7,68202.0
177272,116.58891299999999,39.922146000000005,1111027377088,20160126,62,255.0,87.82,2.0,1,1,1.0,6,4.0,2003.0,3,2,0.5,0.0,1.0,0.0,7,44672.0
207081,116.44905,39.903129,1111027377023,20160531,28,863.5,125.78,3.0,2,1,2.0,16,3.0,2002.0,4,6,0.667,1.0,1.0,1.0,1,78197.0
218301,116.337584,39.795021000000006,1111027379017,20160521,14,339.6,95.67,2.0,1,1,1.0,6,4.0,2003.0,1,2,0.5,0.0,1.0,1.0,4,40453.0
79933,116.60995700000001,39.91983,1111027375945,20170806,129,332.0,61.69,1.0,1,1,1.0,28,3.0,2009.0,4,6,0.4,1.0,1.0,1.0,7,54263.0
135005,116.455926,39.945052000000004,1111027380701,20130101,0,299.0,76.29,1.0,1,1,1.0,6,4.0,1999.0,1,2,0.25,0.0,1.0,0.0,7,71853.0
298928,116.343245,39.900529,1111027378998,20130120,3,150.0,28.38,1.0,1,1,2.0,20,1.0,2004.0,1,6,0.121,1.0,1.0,1.0,10,92360.0
226080,116.308663,39.839115,1111027381702,20130825,2,277.0,83.45,2.0,2,1,1.0,18,1.0,2001.0,1,6,0.2,1.0,0.0,1.0,2,57277.0
189374,116.427678,40.033369,1111027376228,20160310,2,315.0,77.14,2.0,1,1,1.0,6,4.0,2000.0,3,2,0.5,0.0,1.0,1.0,7,54948.0
171436,116.58468,39.935758,1111027378712,20150719,0,282.0,81.57,2.0,1,1,2.0,11,4.0,2007.0,1,6,0.2,1.0,1.0,1.0,7,59730.0
102952,116.390856,40.06733,1111027379406,20140423,9,260.0,88.73,2.0,2,1,1.0,6,4.0,2003.0,1,2,0.5,0.0,1.0,0.0,6,46048.0
58774,116.418802,40.010659000000004,1111027375984,20170222,30,732.0,98.66,2.0,1,1,1.0,30,1.0,2008.0,4,6,0.4,1.0,0.0,1.0,7,79346.0
139941,116.505503,39.906184,1111027377057,20130612,0,550.0,145.21,3.0,2,1,2.0,25,3.0,2008.0,1,6,1.0,1.0,0.0,1.0,7,70894.0
295402,116.335627,39.889618,1111027378200,20120324,0,325.0,102.18,2.0,2,1,1.0,23,1.0,2001.0,1,6,0.25,1.0,1.0,1.0,10,80885.0
197455,116.430798,39.923454,1111027373759,20130224,0,175.0,17.5,1.0,0,1,0.0,1,2.0,1970.0,1,3,0.16699999999999998,0.0,0.0,1.0,1,129091.0
112790,116.364975,40.073376,1111027378909,20151024,5,223.0,88.76,2.0,1,1,1.0,16,3.0,2009.0,4,6,0.5,1.0,1.0,1.0,6,44394.0
144965,116.446047,39.964131,1111027377814,20131225,6,322.0,66.9,2.0,1,1,1.0,18,1.0,1987.0,1,6,0.28600000000000003,1.0,1.0,1.0,7,69318.0
224151,116.37470800000001,39.854229,1111027377509,20121230,1,189.0,60.19,2.0,1,1,1.0,6,4.0,1998.0,1,2,0.5,0.0,0.0,1.0,2,56242.0
251863,116.31696299999999,40.056306,1111027382721,20140704,6,288.0,126.2,3.0,2,1,2.0,24,1.0,2002.0,3,6,0.25,1.0,1.0,0.0,8,52911.0
135094,116.49003200000001,39.993487,1111027376570,20130111,0,260.0,68.0,1.0,1,1,1.0,27,3.0,2008.0,1,6,0.4,1.0,0.0,1.0,7,68910.0
48855,116.62964099999999,39.911449,1111027377284,20170222,64,427.0,97.0,2.0,1,1,1.0,28,1.0,2004.0,3,6,0.25,1.0,0.0,1.0,11,41048.0
116918,116.372841,40.080110999999995,1111027375153,20160305,0,224.0,73.69,2.0,1,1,1.0,6,4.0,1995.0,1,2,0.5,0.0,0.0,1.0,6,47997.0
276464,116.23378500000001,39.906862,1111027381888,20160403,10,202.0,60.83,2.0,1,1,1.0,6,4.0,1993.0,1,2,0.33299999999999996,0.0,0.0,0.0,9,49154.0
40838,116.16293799999998,39.939005,1111027378401,20161004,17,274.5,54.03,2.0,1,1,1.0,6,4.0,1991.0,1,2,0.33299999999999996,0.0,0.0,0.0,9,39314.0
178344,116.51151999999999,39.901436,1111027381719,20160107,30,200.0,55.71,1.0,1,1,1.0,24,3.0,2007.0,4,6,0.33299999999999996,1.0,1.0,1.0,7,62702.0
299135,116.39148,39.967517,1111027379208,20130124,0,495.0,83.2,2.0,1,1,1.0,21,1.0,1999.0,1,6,0.2,1.0,1.0,0.0,10,119778.0
91025,116.336945,39.882166,1111027376034,20171204,38,355.0,42.23,1.0,0,1,1.0,28,1.0,2003.0,4,6,0.17600000000000002,1.0,1.0,0.0,10,81467.0
238133,116.29170800000001,39.844912,1111027379365,20160223,1,125.0,35.43,1.0,0,1,1.0,23,1.0,,4,6,0.214,1.0,0.0,0.0,2,51970.0
53823,116.319699,39.62703,1111027378149,20170319,6,800.0,95.99,4.0,2,1,2.0,4,,2003.0,4,6,0.5,0.0,0.0,0.0,4,30673.0
43455,116.38024899999999,40.00708,1111027375453,20170308,55,1550.0,184.38,3.0,1,1,3.0,23,3.0,2006.0,4,6,1.0,1.0,1.0,1.0,7,76223.0
45867,116.479295,39.997662,1111027374045,20161123,36,282.5,60.77,1.0,1,1,1.0,34,1.0,2008.0,4,6,0.312,1.0,1.0,1.0,7,41980.0
162678,116.529599,39.950025,1111027381544,20150817,1,660.0,140.02,3.0,2,1,2.0,9,4.0,,2,6,0.33299999999999996,1.0,0.0,0.0,7,84680.0
1934,116.35335,39.875617999999996,1111027378762,20160729,5,890.0,214.95,3.0,2,1,2.0,30,1.0,2001.0,4,6,0.25,1.0,0.0,0.0,2,60456.0
114112,116.354215,40.083501,1111027378211,20151213,8,253.0,96.24,2.0,1,1,1.0,6,4.0,2003.0,4,4,0.5,0.0,1.0,0.0,6,39052.0
252213,116.315345,39.986669,1111027377824,20140420,0,320.0,42.86,1.0,1,1,2.0,10,3.0,,4,6,0.08,1.0,0.0,1.0,8,96798.0
101205,116.416156,40.082584999999995,1111027380054,20130830,1,260.0,134.08,2.0,1,1,2.0,13,4.0,2003.0,1,2,0.5,1.0,1.0,1.0,6,33820.0
8446,116.44015700000001,39.983438,1111027379653,20160823,102,410.0,61.37,3.0,1,1,1.0,6,4.0,1982.0,4,2,0.33299999999999996,0.0,1.0,1.0,7,74408.0
311926,116.340473,39.886963,1111027375155,20150813,6,150.0,31.7,1.0,0,1,1.0,6,4.0,1992.0,1,2,0.25,0.0,1.0,1.0,10,77077.0
164771,116.472485,39.938198,1111027379866,20150708,44,235.0,58.8,2.0,1,1,1.0,12,1.0,1982.0,4,6,0.125,1.0,1.0,1.0,7,68063.0
93361,116.336897,40.062253999999996,1111027379085,20111211,0,92.5,50.72,1.0,0,1,1.0,23,3.0,2008.0,1,6,0.222,1.0,0.0,0.0,6,48886.0
234409,116.431165,39.874515,1111027374223,20150902,28,192.0,57.31,2.0,1,1,1.0,6,4.0,1992.0,3,4,0.5,0.0,1.0,1.0,2,66505.0
81275,116.255335,39.897245,1111027382361,20170731,0,485.0,92.44,2.0,2,1,1.0,26,1.0,2002.0,3,6,0.3,1.0,1.0,0.0,2,46872.0
273070,116.24700800000001,39.906426,1111027382209,20140811,3,620.0,146.45,3.0,2,1,2.0,26,3.0,2008.0,4,6,0.5,1.0,1.0,1.0,9,64222.0
220732,116.43876200000001,39.854215,1111027382728,20120130,0,200.0,126.83,3.0,1,1,1.0,18,3.0,2003.0,1,6,0.25,1.0,0.0,1.0,2,50347.0
117660,116.431552,40.082903,1111027380040,20160529,1,347.0,119.8,2.0,1,1,1.0,16,3.0,2004.0,4,6,0.33299999999999996,1.0,1.0,0.0,6,36869.0
301915,116.34363,39.926024,1111027382067,20130831,0,290.0,39.3,1.0,1,1,1.0,6,4.0,1984.0,1,4,0.33299999999999996,0.0,1.0,0.0,10,110543.0
158745,116.518854,39.939588,1111027374656,20150330,4,407.0,126.97,3.0,2,1,2.0,27,3.0,2006.0,4,6,0.5,1.0,1.0,0.0,7,58092.0
282874,116.56016799999999,40.110054,1111027380329,20151121,0,202.0,81.6,2.0,1,1,1.0,6,4.0,1995.0,1,2,0.5,0.0,0.0,0.0,13,44446.0
55568,116.521774,39.94004,1111027374654,20170110,6,595.0,98.86,2.0,1,1,2.0,27,3.0,2007.0,1,6,0.33299999999999996,1.0,0.0,0.0,7,62598.0
197427,116.44504199999999,39.894679,1111027377935,20130116,0,160.0,35.76,1.0,1,1,1.0,12,3.0,2002.0,1,6,0.111,1.0,0.0,1.0,1,93124.0
153795,116.4388,40.054941,1111027375158,20140723,11,226.5,52.79,2.0,2,1,2.0,17,3.0,2011.0,4,6,0.174,1.0,0.0,1.0,7,77695.0
240656,116.34371399999999,39.996907,1111027375225,20120604,0,288.0,61.15,1.0,1,1,1.0,19,1.0,2002.0,1,6,0.25,1.0,0.0,1.0,8,107405.0
236838,116.306494,39.841008,1111027381705,20160227,18,472.0,118.34,3.0,2,1,2.0,7,4.0,1997.0,3,2,0.5,0.0,1.0,1.0,2,60244.0
173356,116.581295,39.910614,1111027379297,20150803,0,160.0,63.72,1.0,1,1,1.0,6,4.0,2004.0,1,4,0.33299999999999996,0.0,1.0,1.0,7,45307.0
24799,116.314104,39.948603000000006,1111027382794,20160920,104,455.0,67.9,3.0,1,1,1.0,16,1.0,1988.0,3,6,0.28600000000000003,1.0,1.0,0.0,8,78359.0
216963,116.450891,39.822297999999996,1111027378846,20160218,37,286.0,97.36,2.0,2,1,1.0,11,3.0,2005.0,4,6,0.25,1.0,1.0,0.0,4,49957.0
88899,116.509126,39.942333000000005,1111027379227,20171124,28,370.0,74.89,3.0,1,1,1.0,12,3.0,1992.0,3,6,0.5,0.0,1.0,0.0,7,55493.0
182480,116.481385,39.874867,1111027378657,20151209,1,165.0,50.61,1.0,1,1,1.0,24,1.0,1996.0,1,6,0.2,1.0,0.0,1.0,7,59744.0
304959,116.35458100000001,39.92393,1111027382064,20160109,65,425.0,50.4,2.0,1,1,1.0,6,4.0,1979.0,3,2,0.25,0.0,1.0,0.0,10,106206.0
151011,116.50448200000001,39.942714,1111027374228,20141120,4,840.0,152.87,2.0,2,1,2.0,18,4.0,2008.0,4,6,1.0,1.0,1.0,0.0,7,99879.0
80143,116.47773000000001,40.002156,1111027380317,20171231,211,755.0,126.67,3.0,1,1,1.0,26,1.0,1997.0,3,6,0.25,1.0,1.0,1.0,7,60348.0
181732,116.46587099999999,40.007369,1111027380503,20151128,2,230.0,71.44,1.0,2,1,1.0,6,4.0,2000.0,1,2,0.33299999999999996,0.0,1.0,1.0,7,63841.0
123488,116.55656699999999,39.952006,1111027379175,20120212,0,145.0,80.83,2.0,1,1,1.0,12,3.0,2007.0,1,6,0.25,1.0,0.0,0.0,7,48420.0
215256,116.318055,39.770087,1111027377095,20151014,39,249.0,87.43,2.0,2,1,1.0,18,4.0,2012.0,3,6,0.5,1.0,0.0,0.0,4,52370.0
122590,116.42537,40.052808,1111027376257,20120113,0,218.0,107.47,2.0,2,1,2.0,14,4.0,2006.0,1,6,0.5,1.0,0.0,1.0,7,60785.0
140551,116.47621299999999,39.897851,1111027379107,20130430,0,285.0,62.53,2.0,1,1,2.0,16,3.0,,1,6,0.19399999999999998,1.0,0.0,1.0,7,89330.0
179175,116.51173,39.92326,1111027376657,20151229,6,390.0,112.06,2.0,1,1,1.0,24,1.0,,3,6,0.375,1.0,1.0,1.0,7,49667.0
30856,116.632799,40.031538,1111027381746,20160905,15,106.0,35.44,1.0,0,0,0.0,6,4.0,1999.0,3,2,0.25,0.0,0.0,0.0,13,42342.0
49922,116.21005,39.919736,1111027375873,20161125,0,230.0,40.46,1.0,1,1,1.0,6,4.0,1994.0,4,2,0.33299999999999996,0.0,1.0,0.0,9,47270.0
41968,116.68924399999999,39.873245000000004,1111027376743,20161105,45,240.0,42.37,1.0,0,1,1.0,11,4.0,2005.0,3,6,0.25,1.0,0.0,1.0,11,49350.0
206704,116.44775600000001,39.896508000000004,1111027377932,20160608,42,498.0,70.51,2.0,1,1,1.0,6,4.0,2003.0,1,6,0.25,0.0,1.0,1.0,1,87411.0
44965,116.59246999999999,39.926531,1111027375969,20161109,68,305.0,48.2,1.0,1,1,1.0,11,4.0,2002.0,3,6,0.5,1.0,1.0,1.0,7,61359.0
154828,116.418802,40.010659000000004,1111027375984,20141208,9,419.5,105.73,2.0,1,1,1.0,30,1.0,2008.0,4,6,0.4,1.0,0.0,1.0,7,79346.0
61833,116.49090100000001,39.978190000000005,1111027374425,20170227,21,408.8,59.97,2.0,1,1,1.0,6,4.0,1982.0,4,6,0.33299999999999996,0.0,0.0,1.0,7,59224.0
300912,116.343245,39.900529,1111027378998,20140420,7,122.0,26.34,1.0,0,1,1.0,20,1.0,2004.0,3,6,0.121,1.0,0.0,1.0,10,92360.0
119809,116.454903,39.882809,1111027378740,20120711,0,175.0,69.62,2.0,1,1,1.0,12,3.0,1994.0,1,6,0.222,1.0,1.0,0.0,7,57180.0
47090,116.415742,40.077796,1111027380053,20170209,56,532.0,176.18,4.0,1,1,2.0,32,1.0,2003.0,3,2,0.375,1.0,1.0,1.0,6,37661.0
34242,116.41442099999999,40.053513,1111027378407,20160914,3,158.8,48.98,1.0,1,1,1.0,20,3.0,2007.0,1,6,0.4,1.0,0.0,0.0,7,34875.0
218332,116.332577,39.760321000000005,1111041178256,20160611,9,346.0,70.99,2.0,1,1,1.0,28,4.0,2013.0,4,6,0.5,1.0,0.0,1.0,4,59179.0
115652,116.38153100000001,40.089564,1111027377943,20160225,15,230.0,98.86,2.0,1,1,1.0,6,4.0,2009.0,4,2,0.5,0.0,1.0,0.0,6,37961.0
167576,116.60995700000001,39.91983,1111027375945,20150720,42,228.0,77.27,1.0,1,1,1.0,20,3.0,2008.0,4,6,0.4,1.0,1.0,0.0,7,54263.0
217596,116.423905,39.791207,1111027374423,20160319,8,206.0,58.68,1.0,1,1,1.0,6,4.0,2004.0,4,6,0.5,0.0,1.0,0.0,4,44880.0
164783,116.50828100000001,39.915816,1111027379834,20150427,1,255.0,71.93,1.0,1,1,1.0,9,3.0,2006.0,4,6,0.11800000000000001,1.0,1.0,1.0,7,58955.0
56138,116.37651899999999,40.020123999999996,1111027375620,20161231,9,793.0,104.05,2.0,2,1,1.0,24,1.0,2000.0,4,6,0.375,1.0,0.0,0.0,7,62951.0
64934,116.44787600000001,39.960179,1111027382562,20170305,0,380.0,49.96,2.0,1,1,1.0,6,4.0,1982.0,3,4,0.33299999999999996,0.0,1.0,0.0,7,65616.0
40810,116.16293799999998,39.939005,1111027378401,20161230,18,251.0,57.0,2.0,1,1,1.0,7,4.0,1990.0,3,6,0.33299999999999996,0.0,0.0,0.0,9,39314.0
66134,116.16293799999998,39.939005,1111027378401,20170226,0,277.0,54.03,2.0,1,1,1.0,6,4.0,1991.0,1,2,0.33299999999999996,0.0,0.0,0.0,9,39314.0
199558,116.423426,39.964365,1111027373924,20140321,1,324.0,56.71,2.0,1,1,1.0,5,4.0,1989.0,1,4,0.33299999999999996,0.0,1.0,1.0,1,92516.0
279149,116.67359499999999,40.124882,1111027381897,20130313,1,147.0,86.27,2.0,1,1,1.0,6,4.0,1998.0,1,2,0.5,0.0,1.0,0.0,13,38574.0
271405,116.203052,39.921408,1111027375872,20130608,3,165.0,51.32,2.0,1,1,1.0,6,4.0,1986.0,1,2,0.33299999999999996,0.0,1.0,0.0,9,50187.0
251889,116.332948,39.935111,1111027377422,20150513,6,245.0,44.8,1.0,1,1,1.0,18,3.0,1990.0,3,6,0.111,0.0,1.0,1.0,8,90260.0
9929,116.121949,40.215899,1111027378569,20160720,20,140.0,83.0,2.0,1,1,1.0,6,4.0,2008.0,4,2,0.5,0.0,0.0,0.0,6,28158.0
273755,116.24700800000001,39.906426,1111027382209,20150402,1,209.0,57.61,1.0,1,1,1.0,26,3.0,2007.0,1,6,0.214,1.0,1.0,0.0,9,64222.0
5600,116.360004,39.90498,1111027380593,20160914,62,468.0,55.01,2.0,1,1,1.0,16,1.0,1983.0,3,6,0.28600000000000003,1.0,1.0,1.0,10,89752.0
178397,116.457526,39.8764,1111027375273,20160102,22,339.0,120.87,3.0,1,1,2.0,28,1.0,2009.0,4,6,0.214,1.0,0.0,1.0,7,49691.0
182157,116.55656699999999,39.952006,1111027379175,20151209,1,303.0,101.02,2.0,1,1,1.0,6,4.0,2002.0,4,2,0.5,0.0,1.0,0.0,7,48420.0
15613,116.49286699999999,39.966876,1111027377595,20160708,25,239.8,47.07,1.0,0,1,1.0,19,1.0,2005.0,4,6,0.3,1.0,1.0,1.0,7,75559.0
224644,116.299198,39.838131,1111027380071,20130310,0,165.0,68.72,1.0,1,1,1.0,28,1.0,2005.0,1,6,1.0,1.0,0.0,1.0,2,48853.0
307271,116.362276,39.909851,1111027374404,20150404,2,410.0,57.74,2.0,1,1,1.0,12,1.0,1984.0,3,6,0.091,1.0,1.0,1.0,10,125589.0
191111,116.59088,39.924096,1111027375124,20160320,6,220.0,67.47,2.0,1,1,1.0,6,4.0,1996.0,3,2,0.5,0.0,1.0,1.0,7,50845.0
183133,116.50828100000001,39.915816,1111027379834,20151212,1,172.0,44.56,1.0,0,1,1.0,6,4.0,2008.0,4,6,0.25,1.0,1.0,1.0,7,58955.0
7104,116.421876,40.008585,1111027382177,20160707,24,370.0,57.08,2.0,1,1,1.0,6,4.0,1993.0,4,2,0.5,0.0,0.0,1.0,7,66408.0
311361,116.391672,39.902881,1111027376359,20151125,10,453.0,64.5,2.0,1,1,1.0,6,4.0,,4,4,0.5,0.0,1.0,1.0,10,103858.0
48359,116.43942,40.072066,1111027380051,20161218,19,388.0,89.58,2.0,1,1,1.0,6,4.0,2001.0,3,2,0.5,0.0,1.0,0.0,6,40934.0
260867,116.31594299999999,40.060937,1111046327215,20151031,1,1220.0,307.47,4.0,2,1,4.0,3,,2012.0,1,6,0.16699999999999998,0.0,0.0,0.0,8,75604.0
5793,116.313465,39.856611,1111027379296,20160623,215,200.0,52.6,1.0,1,1,1.0,18,1.0,2006.0,1,6,0.33299999999999996,1.0,1.0,1.0,2,53205.0
278841,116.545553,40.103666,1111027382348,20130115,0,165.0,92.05,2.0,1,1,1.0,15,3.0,,1,6,0.667,1.0,0.0,0.0,13,47900.0
131879,116.42022,40.044807,1111027379889,20121125,0,230.0,87.25,2.0,1,1,1.0,32,1.0,2008.0,1,6,0.444,1.0,0.0,1.0,7,62595.0
242724,116.364694,39.987093,1111027381844,20120410,0,273.5,77.55,2.0,2,1,1.0,18,1.0,1999.0,1,6,0.25,1.0,1.0,1.0,8,84580.0
66392,116.23338100000001,39.896656,1111027377174,20170320,39,825.0,108.27,3.0,1,1,1.0,15,4.0,2004.0,3,6,0.5,1.0,1.0,0.0,9,63657.0
118229,116.309045,40.083071999999994,1111027378159,20160421,1,295.0,98.43,3.0,2,1,1.0,6,4.0,2000.0,1,2,0.5,0.0,1.0,0.0,6,41411.0
149645,116.504397,39.92941,1111027376016,20140518,1,216.0,62.16,2.0,1,1,1.0,6,4.0,1993.0,4,2,0.33299999999999996,0.0,1.0,1.0,7,56893.0
272120,116.16293799999998,39.939005,1111027378401,20140104,22,179.0,64.46,2.0,1,1,1.0,14,3.0,1989.0,1,6,0.33299999999999996,0.0,1.0,0.0,9,39314.0
88700,116.15460800000001,39.726495,1111027379063,20171231,110,310.0,89.23,2.0,1,1,1.0,10,4.0,2007.0,3,6,0.5,1.0,1.0,1.0,5,35310.0
288356,116.70625600000001,39.940934000000006,1111027380627,20131222,259,208.0,101.06,2.0,2,1,2.0,5,4.0,2007.0,1,6,0.5,0.0,1.0,0.0,11,41408.0
167356,116.482231,40.009521,1111027380322,20151011,44,329.7,97.22,2.0,1,1,1.0,6,4.0,1999.0,4,2,0.5,0.0,1.0,1.0,7,66864.0
30576,116.466392,39.928321000000004,1111027374531,20161106,11,440.0,67.61,3.0,1,1,1.0,15,1.0,1984.0,3,6,0.33299999999999996,1.0,0.0,1.0,7,75031.0
19024,116.499423,39.900278,1111027377154,20160725,29,373.0,79.31,1.0,2,1,1.0,23,3.0,2005.0,4,6,0.33299999999999996,1.0,1.0,1.0,7,59536.0
120115,116.50891000000001,39.920223,1111027376915,20130222,0,345.0,131.33,2.0,2,1,2.0,20,1.0,,1,6,0.375,1.0,0.0,1.0,7,61931.0
182005,116.481385,39.874867,1111027378657,20160225,11,251.0,72.96,2.0,1,1,1.0,6,4.0,1995.0,3,2,0.5,0.0,1.0,0.0,7,59744.0
256280,116.22028300000001,40.043636,1111027376008,20150110,1,310.0,86.35,2.0,1,1,1.0,8,4.0,,1,6,0.33299999999999996,1.0,0.0,0.0,8,63444.0
84152,116.23558200000001,39.88187,1111045501689,20170920,24,350.0,78.58,2.0,1,1,1.0,28,4.0,2015.0,3,6,0.25,0.0,0.0,0.0,2,44275.0
152071,116.37921000000001,40.01336,1111027381933,20150120,1,184.6,47.08,1.0,0,1,1.0,18,3.0,2005.0,4,6,0.16699999999999998,1.0,1.0,1.0,7,73708.0
52516,116.39497800000001,39.963326,1111027375577,20161211,9,460.0,41.93,1.0,1,1,1.0,17,1.0,1990.0,3,6,0.28600000000000003,1.0,1.0,1.0,1,86828.0
58807,116.472792,39.995684000000004,1111027373999,20170303,14,905.0,85.95,2.0,1,1,1.0,10,4.0,1999.0,4,6,0.33299999999999996,1.0,1.0,1.0,7,90867.0
209307,116.49554099999999,39.796534,1111027379751,20121223,0,219.0,103.68,3.0,1,1,1.0,6,4.0,2003.0,1,2,0.5,0.0,0.0,0.0,3,55220.0
108226,116.36673600000002,40.091609000000005,1111027375384,20150419,19,251.0,93.62,2.0,1,1,1.0,6,4.0,2006.0,4,2,0.5,0.0,1.0,1.0,6,43641.0
84750,116.676119,39.887571,1111027375554,20170909,29,428.0,93.15,2.0,1,1,1.0,15,4.0,2005.0,4,6,0.5,1.0,1.0,1.0,11,45024.0
162127,116.447131,39.976982,1111027380091,20151101,35,405.0,93.43,1.0,2,1,1.0,12,3.0,,4,6,0.33299999999999996,1.0,1.0,1.0,7,77143.0
262546,116.33823100000001,39.974109999999996,1111027378409,20151128,20,600.0,123.92,2.0,1,1,1.0,24,1.0,1999.0,1,6,0.375,1.0,1.0,1.0,8,83520.0
